node,feature
0,original_shape_Elongation
1,original_shape_Flatness
2,original_shape_LeastAxisLength
3,original_shape_MajorAxisLength
4,original_shape_Maximum2DDiameterColumn
5,original_shape_Maximum2DDiameterRow
6,original_shape_Maximum2DDiameterSlice
7,original_shape_Maximum3DDiameter
8,original_shape_MeshVolume
9,original_shape_MinorAxisLength
10,original_shape_Sphericity
11,original_shape_SurfaceArea
12,original_shape_SurfaceVolumeRatio
13,original_shape_VoxelVolume
14,original_firstorder_10Percentile
15,original_firstorder_90Percentile
16,original_firstorder_Energy
17,original_firstorder_Entropy
18,original_firstorder_InterquartileRange
19,original_firstorder_Kurtosis
20,original_firstorder_Maximum
21,original_firstorder_MeanAbsoluteDeviation
22,original_firstorder_Mean
23,original_firstorder_Median
24,original_firstorder_Minimum
25,original_firstorder_Range
26,original_firstorder_RobustMeanAbsoluteDeviation
27,original_firstorder_RootMeanSquared
28,original_firstorder_Skewness
29,original_firstorder_TotalEnergy
30,original_firstorder_Uniformity
31,original_firstorder_Variance
32,original_glcm_Autocorrelation
33,original_glcm_ClusterProminence
34,original_glcm_ClusterShade
35,original_glcm_ClusterTendency
36,original_glcm_Contrast
37,original_glcm_Correlation
38,original_glcm_DifferenceAverage
39,original_glcm_DifferenceEntropy
40,original_glcm_DifferenceVariance
41,original_glcm_Id
42,original_glcm_Idm
43,original_glcm_Idmn
44,original_glcm_Idn
45,original_glcm_Imc1
46,original_glcm_Imc2
47,original_glcm_InverseVariance
48,original_glcm_JointAverage
49,original_glcm_JointEnergy
50,original_glcm_JointEntropy
51,original_glcm_MCC
52,original_glcm_MaximumProbability
53,original_glcm_SumAverage
54,original_glcm_SumEntropy
55,original_glcm_SumSquares
56,original_gldm_DependenceEntropy
57,original_gldm_DependenceNonUniformity
58,original_gldm_DependenceNonUniformityNormalized
59,original_gldm_DependenceVariance
60,original_gldm_GrayLevelNonUniformity
61,original_gldm_GrayLevelVariance
62,original_gldm_HighGrayLevelEmphasis
63,original_gldm_LargeDependenceEmphasis
64,original_gldm_LargeDependenceHighGrayLevelEmphasis
65,original_gldm_LargeDependenceLowGrayLevelEmphasis
66,original_gldm_LowGrayLevelEmphasis
67,original_gldm_SmallDependenceEmphasis
68,original_gldm_SmallDependenceHighGrayLevelEmphasis
69,original_gldm_SmallDependenceLowGrayLevelEmphasis
70,original_glrlm_GrayLevelNonUniformity
71,original_glrlm_GrayLevelNonUniformityNormalized
72,original_glrlm_GrayLevelVariance
73,original_glrlm_HighGrayLevelRunEmphasis
74,original_glrlm_LongRunEmphasis
75,original_glrlm_LongRunHighGrayLevelEmphasis
76,original_glrlm_LongRunLowGrayLevelEmphasis
77,original_glrlm_LowGrayLevelRunEmphasis
78,original_glrlm_RunEntropy
79,original_glrlm_RunLengthNonUniformity
80,original_glrlm_RunLengthNonUniformityNormalized
81,original_glrlm_RunPercentage
82,original_glrlm_RunVariance
83,original_glrlm_ShortRunEmphasis
84,original_glrlm_ShortRunHighGrayLevelEmphasis
85,original_glrlm_ShortRunLowGrayLevelEmphasis
86,original_glszm_GrayLevelNonUniformity
87,original_glszm_GrayLevelNonUniformityNormalized
88,original_glszm_GrayLevelVariance
89,original_glszm_HighGrayLevelZoneEmphasis
90,original_glszm_LargeAreaEmphasis
91,original_glszm_LargeAreaHighGrayLevelEmphasis
92,original_glszm_LargeAreaLowGrayLevelEmphasis
93,original_glszm_LowGrayLevelZoneEmphasis
94,original_glszm_SizeZoneNonUniformity
95,original_glszm_SizeZoneNonUniformityNormalized
96,original_glszm_SmallAreaEmphasis
97,original_glszm_SmallAreaHighGrayLevelEmphasis
98,original_glszm_SmallAreaLowGrayLevelEmphasis
99,original_glszm_ZoneEntropy
100,original_glszm_ZonePercentage
101,original_glszm_ZoneVariance
102,original_ngtdm_Busyness
103,original_ngtdm_Coarseness
104,original_ngtdm_Complexity
105,original_ngtdm_Contrast
106,original_ngtdm_Strength
107,exponential_firstorder_10Percentile
108,exponential_firstorder_90Percentile
109,exponential_firstorder_Energy
110,exponential_firstorder_Entropy
111,exponential_firstorder_InterquartileRange
112,exponential_firstorder_Kurtosis
113,exponential_firstorder_Maximum
114,exponential_firstorder_MeanAbsoluteDeviation
115,exponential_firstorder_Mean
116,exponential_firstorder_Median
117,exponential_firstorder_Minimum
118,exponential_firstorder_Range
119,exponential_firstorder_RobustMeanAbsoluteDeviation
120,exponential_firstorder_RootMeanSquared
121,exponential_firstorder_Skewness
122,exponential_firstorder_TotalEnergy
